Ticker,Type,GapLow,GapHigh,Start,End,BreachTS,BreachDate,FID
AFRM,bearish,73.94999694824219,75.72000122070312,2025-10-09,2025-10-13,2025-10-24,2025-10-24,AFRM|bearish|2025-10-09|2025-10-13|73.949997|75.720001
AMBA,bearish,81.88999938964844,83.7300033569336,2025-10-20,2025-10-22,2025-10-24,2025-10-24,AMBA|bearish|2025-10-20|2025-10-22|81.889999|83.730003
APP,bearish,601.8300170898438,616.239990234375,2025-10-08,2025-10-10,2025-10-24,2025-10-24,APP|bearish|2025-10-08|2025-10-10|601.830017|616.239990
AVGO,bearish,350.70001220703125,356.989990234375,2025-09-16,2025-09-18,2025-10-24,2025-10-24,AVGO|bearish|2025-09-16|2025-09-18|350.700012|356.989990
CEG,bearish,362.94000244140625,368.1300048828125,2025-10-20,2025-10-22,2025-10-24,2025-10-24,CEG|bearish|2025-10-20|2025-10-22|362.940002|368.130005
CLSK,bearish,18.139999389648438,18.420000076293945,2025-10-21,2025-10-23,2025-10-24,2025-10-24,CLSK|bearish|2025-10-21|2025-10-23|18.139999|18.420000
COIN,bearish,328.3900146484375,335.5,2025-10-21,2025-10-23,2025-10-24,2025-10-24,COIN|bearish|2025-10-21|2025-10-23|328.390015|335.500000
CRCL,bearish,127.75800323486328,132.5800018310547,2025-10-15,2025-10-17,2025-10-24,2025-10-24,CRCL|bearish|2025-10-15|2025-10-17|127.758003|132.580002
CRWV,bearish,124.56999969482422,126.70999908447266,2025-10-20,2025-10-22,2025-10-24,2025-10-24,CRWV|bearish|2025-10-20|2025-10-22|124.570000|126.709999
CVNA,bearish,342.25,343.01800537109375,2025-10-21,2025-10-23,2025-10-24,2025-10-24,CVNA|bearish|2025-10-21|2025-10-23|342.250000|343.018005
DDOG,bearish,156.24000549316406,157.50999450683594,2025-10-15,2025-10-17,2025-10-24,2025-10-24,DDOG|bearish|2025-10-15|2025-10-17|156.240005|157.509995
GS,bearish,755.0,758.27001953125,2025-10-21,2025-10-23,2025-10-24,2025-10-24,GS|bearish|2025-10-21|2025-10-23|755.000000|758.270020
IBM,bearish,290.1300048828125,293.2900085449219,2025-10-07,2025-10-09,2025-10-24,2025-10-24,IBM|bearish|2025-10-07|2025-10-09|290.130005|293.290009
JPM,bearish,296.3699951171875,297.0,2025-10-21,2025-10-23,2025-10-24,2025-10-24,JPM|bearish|2025-10-21|2025-10-23|296.369995|297.000000
LLY,bearish,822.0900268554688,830.1099853515625,2025-10-10,2025-10-14,2025-10-24,2025-10-24,LLY|bearish|2025-10-10|2025-10-14|822.090027|830.109985
NET,bearish,210.0800018310547,217.25999450683594,2025-10-15,2025-10-17,2025-10-24,2025-10-24,NET|bearish|2025-10-15|2025-10-17|210.080002|217.259995
CHWY,bullish,36.15999984741211,36.95000076293945,2025-09-12,2025-09-16,2025-10-24,2025-10-24,CHWY|bullish|2025-09-12|2025-09-16|36.160000|36.950001
NFLX,bullish,1106.800048828125,1107.010009765625,2025-04-21,2025-05-05,2025-10-24,2025-10-24,NFLX|bullish|2025-04-21|2025-05-05|1106.800049|1107.010010
