Ticker,Type,GapLow,GapHigh,Start,End,FID
ABNB,bearish,162.08999633789062,162.77000427246094,2024-04-26,2024-04-30,ABNB|bearish|2024-04-26|2024-04-30|162.089996|162.770004
ABNB,bearish,144.75,145.75,2025-02-17,2025-03-03,ABNB|bearish|2025-02-17|2025-03-03|144.750000|145.750000
ABNB,bearish,157.75,158.07000732421875,2025-02-18,2025-02-20,ABNB|bearish|2025-02-18|2025-02-20|157.750000|158.070007
ABNB,bearish,154.56500244140625,155.2100067138672,2025-02-19,2025-02-21,ABNB|bearish|2025-02-19|2025-02-21|154.565002|155.210007
ABNB,bearish,147.07000732421875,152.47000122070312,2025-02-20,2025-02-24,ABNB|bearish|2025-02-20|2025-02-24|147.070007|152.470001
ABNB,bearish,145.16000366210938,145.75,2025-02-21,2025-02-25,ABNB|bearish|2025-02-21|2025-02-25|145.160004|145.750000
ABNB,bullish,113.4000015258789,116.72000122070312,2025-04-21,2025-04-23,ABNB|bullish|2025-04-21|2025-04-23|113.400002|116.720001
ABNB,bullish,115.8000030517578,118.0,2025-04-22,2025-04-24,ABNB|bullish|2025-04-22|2025-04-24|115.800003|118.000000
ABNB,bearish,132.16000366210938,136.86000061035156,2025-07-21,2025-08-04,ABNB|bearish|2025-07-21|2025-08-04|132.160004|136.860001
ABNB,bearish,136.52499389648438,141.02000427246094,2025-07-28,2025-07-30,ABNB|bearish|2025-07-28|2025-07-30|136.524994|141.020004
ABNB,bearish,135.8000030517578,136.3800048828125,2025-07-29,2025-07-31,ABNB|bearish|2025-07-29|2025-07-31|135.800003|136.380005
ABNB,bearish,130.36000061035156,133.9199981689453,2025-07-30,2025-08-01,ABNB|bearish|2025-07-30|2025-08-01|130.360001|133.919998
ABNB,bearish,131.1300048828125,132.1199951171875,2025-07-31,2025-08-04,ABNB|bearish|2025-07-31|2025-08-04|131.130005|132.119995
ABNB,bullish,121.3000030517578,121.6999969482422,2025-08-11,2025-08-13,ABNB|bullish|2025-08-11|2025-08-13|121.300003|121.699997
ABNB,bullish,122.19000244140624,122.43599700927734,2025-08-12,2025-08-14,ABNB|bullish|2025-08-12|2025-08-14|122.190002|122.435997
ABNB,bearish,126.08000183105467,126.4000015258789,2025-08-25,2025-09-08,ABNB|bearish|2025-08-25|2025-09-08|126.080002|126.400002
ABNB,bearish,127.75,129.2100067138672,2025-08-29,2025-09-03,ABNB|bearish|2025-08-29|2025-09-03|127.750000|129.210007
ABNB,bearish,125.6500015258789,126.45999908447266,2025-09-02,2025-09-04,ABNB|bearish|2025-09-02|2025-09-04|125.650002|126.459999
AFRM,bullish,19.979999542236328,20.200000762939453,2023-10-23,2023-11-06,AFRM|bullish|2023-10-23|2023-11-06|19.980000|20.200001
AFRM,bullish,17.860000610351562,19.56999969482422,2023-10-31,2023-11-02,AFRM|bullish|2023-10-31|2023-11-02|17.860001|19.570000
AFRM,bullish,17.860000610351562,21.757999420166016,2023-11-01,2023-11-03,AFRM|bullish|2023-11-01|2023-11-03|17.860001|21.757999
AFRM,bullish,21.100000381469727,21.190000534057617,2023-11-02,2023-11-06,AFRM|bullish|2023-11-02|2023-11-06|21.100000|21.190001
AFRM,bullish,22.3799991607666,24.43000030517578,2023-11-07,2023-11-09,AFRM|bullish|2023-11-07|2023-11-09|22.379999|24.430000
AFRM,bullish,23.19799995422364,25.14999961853028,2023-11-13,2023-11-15,AFRM|bullish|2023-11-13|2023-11-15|23.198000|25.150000
AFRM,bullish,26.40999984741211,28.36000061035156,2024-08-05,2024-08-19,AFRM|bullish|2024-08-05|2024-08-19|26.410000|28.360001
AFRM,bullish,25.43000030517578,25.96999931335449,2024-08-12,2024-08-14,AFRM|bullish|2024-08-12|2024-08-14|25.430000|25.969999
AFRM,bullish,28.89999961853028,30.459999084472656,2024-08-12,2024-08-26,AFRM|bullish|2024-08-12|2024-08-26|28.900000|30.459999
AFRM,bullish,26.479999542236328,27.200000762939453,2024-08-13,2024-08-15,AFRM|bullish|2024-08-13|2024-08-15|26.480000|27.200001
AFRM,bullish,26.8799991607666,28.14999961853028,2024-08-14,2024-08-16,AFRM|bullish|2024-08-14|2024-08-16|26.879999|28.150000
AFRM,bullish,28.89999961853028,29.19499969482422,2024-08-16,2024-08-20,AFRM|bullish|2024-08-16|2024-08-20|28.900000|29.195000
AFRM,bullish,32.16999816894531,37.84000015258789,2024-08-19,2024-09-02,AFRM|bullish|2024-08-19|2024-09-02|32.169998|37.840000
AFRM,bullish,29.84000015258789,30.020000457763672,2024-08-21,2024-08-23,AFRM|bullish|2024-08-21|2024-08-23|29.840000|30.020000
AFRM,bullish,32.66999816894531,37.52000045776367,2024-08-27,2024-08-29,AFRM|bullish|2024-08-27|2024-08-29|32.669998|37.520000
AFRM,bullish,32.5099983215332,40.56999969482422,2024-08-28,2024-08-30,AFRM|bullish|2024-08-28|2024-08-30|32.509998|40.570000
AFRM,bullish,42.7599983215332,46.47999954223633,2025-04-14,2025-04-28,AFRM|bullish|2025-04-14|2025-04-28|42.759998|46.480000
AFRM,bullish,41.810001373291016,46.470001220703125,2025-04-21,2025-04-23,AFRM|bullish|2025-04-21|2025-04-23|41.810001|46.470001
